unit	cluster	hap1	hap2	purity	score
227	0	15	20	0.5714	0.0000
1023	0	8	13	0.6190	45.4293
484	0	0	26	1.0000	255.7834
615	0	7	15	0.6818	53.8013
653	1	22	0	1.0000	59.6620
468	0	27	0	1.0000	179.7054
1527	0	0	29	1.0000	0.0000
1015	0	1	28	0.9655	335.7450
911	0	0	27	1.0000	199.8334
1492	0	2	16	0.8889	53.3011
882	0	0	22	1.0000	301.2162
173	1	0	26	1.0000	312.5714
668	0	33	4	0.8919	138.3509
1478	1	14	8	0.6364	43.6153
555	1	0	29	1.0000	339.0074
1301	1	20	25	0.5556	46.7628
1843	1	30	2	0.9375	94.1202
1355	1	0	27	1.0000	185.1236
1246	1	0	25	1.0000	209.1260
1701	1	9	8	0.5294	32.6947
916	1	30	0	1.0000	186.9360
998	0	13	0	1.0000	237.0660
1353	1	0	32	1.0000	411.7770
175	0	13	12	0.5200	56.1772
508	0	0	29	1.0000	0.0000
805	0	27	29	0.5179	0.0000
66	0	11	9	0.5500	71.6573
1192	0	0	23	1.0000	268.9875
556	1	3	24	0.8889	55.0892
319	0	22	7	0.7586	62.3765
677	0	14	7	0.6667	48.9574
835	0	25	1	0.9615	353.9959
1655	0	0	30	1.0000	0.0000
1250	0	31	0	1.0000	319.2592
1398	0	26	0	1.0000	384.9163
604	1	0	28	1.0000	416.9849
317	0	15	11	0.5769	99.4240
830	0	34	0	1.0000	0.0000
250	0	29	0	1.0000	0.0000
1854	1	8	17	0.6800	115.9202
1577	0	23	1	0.9583	129.7595
34	1	27	0	1.0000	389.3880
1193	1	22	3	0.8800	76.9379
531	0	13	12	0.5200	59.5858
835	1	0	30	1.0000	353.9959
887	0	1	25	0.9615	258.7902
1056	0	0	23	1.0000	0.0000
1180	0	0	34	1.0000	0.0000
1830	1	15	10	0.6000	198.1831
892	1	17	16	0.5152	58.7752
247	1	11	22	0.6667	36.7214
881	0	33	0	1.0000	182.2312
438	1	38	1	0.9744	362.4537
850	0	24	0	1.0000	237.9724
1759	0	0	29	1.0000	305.6506
541	2	0	19	1.0000	1206.9387
987	0	0	28	1.0000	306.7406
1666	2	25	0	1.0000	873.9503
350	0	31	1	0.9688	196.0177
1375	1	1	17	0.9444	173.6784
605	0	0	34	1.0000	214.7515
1887	0	24	16	0.6000	0.0000
126	1	0	25	1.0000	298.0460
1347	1	10	13	0.5652	81.7544
1812	1	24	2	0.9231	190.5667
1617	0	41	1	0.9762	296.1759
758	0	10	19	0.6552	51.4221
1477	0	26	17	0.6047	0.0000
985	1	24	21	0.5333	58.2285
782	0	20	25	0.5556	84.2554
1291	1	0	22	1.0000	242.3826
525	1	7	11	0.6111	34.7010
1325	0	24	0	1.0000	254.5871
878	1	8	14	0.6364	31.5951
1198	0	30	0	1.0000	199.7063
1663	0	30	26	0.5357	0.0000
1883	0	26	17	0.6047	0.0000
860	1	25	1	0.9615	89.5984
1155	0	23	1	0.9583	86.7966
1112	1	17	7	0.7083	61.7961
1329	0	22	2	0.9167	78.5478
1748	0	0	19	1.0000	198.6858
810	1	18	16	0.5294	62.3107
107	0	0	30	1.0000	310.8225
210	0	0	33	1.0000	0.0000
991	0	0	36	1.0000	160.3432
989	1	20	1	0.9524	199.4309
1568	0	29	0	1.0000	289.3079
1358	1	0	24	1.0000	253.0592
1625	1	21	0	1.0000	164.6886
1378	0	22	11	0.6667	49.4455
