unit	cluster	hap1	hap2	purity	score
1351	0	27	1	0.9643	309.8321
1895	0	21	15	0.5833	0.0000
705	0	40	0	1.0000	0.0000
1860	0	19	18	0.5135	0.0000
1068	0	1	31	0.9688	103.4542
1193	1	0	26	1.0000	76.9379
1431	1	22	2	0.9167	55.0750
1285	1	24	0	1.0000	121.2144
552	0	28	1	0.9655	87.8169
592	0	0	23	1.0000	135.9814
1118	0	33	0	1.0000	176.4226
637	1	0	24	1.0000	267.8257
1563	0	27	0	1.0000	992.9097
1178	1	25	0	1.0000	106.9122
413	1	32	0	1.0000	210.8430
277	0	4	3	0.5714	62.4944
1886	0	22	24	0.5217	0.0000
1764	0	20	0	1.0000	57.8649
1529	0	0	34	1.0000	0.0000
1245	1	1	24	0.9600	46.9407
1545	0	29	0	1.0000	0.0000
1722	0	26	0	1.0000	59.0645
1036	1	0	33	1.0000	162.5118
840	0	23	23	0.5000	0.0000
692	0	5	24	0.8276	51.1180
290	0	22	0	1.0000	0.0000
239	0	0	24	1.0000	67.5368
1640	1	1	27	0.9643	158.6511
605	1	0	34	1.0000	214.7515
637	0	36	0	1.0000	267.8257
1026	0	23	0	1.0000	214.1963
946	1	23	0	1.0000	129.3371
1837	0	32	22	0.5926	0.0000
408	0	0	19	1.0000	204.5708
1862	1	2	3	0.6000	424.5036
45	0	32	0	1.0000	360.9171
1743	1	10	13	0.5652	68.3667
1045	0	0	25	1.0000	76.9894
466	0	22	0	1.0000	74.1938
1797	0	16	18	0.5294	0.0000
1660	1	24	0	1.0000	226.8194
1921	0	15	19	0.5588	0.0000
1725	1	33	0	1.0000	295.6495
28	1	18	0	1.0000	130.0103
148	0	0	40	1.0000	0.0000
607	1	0	32	1.0000	248.3267
1720	0	0	20	1.0000	0.0000
999	0	15	0	1.0000	198.0037
435	0	23	0	1.0000	231.0879
504	0	0	33	1.0000	114.8791
78	0	4	0	1.0000	32.2054
690	1	39	0	1.0000	50.9569
1915	0	16	21	0.5676	0.0000
853	0	2	32	0.9412	38.9852
671	0	24	0	1.0000	0.0000
1293	0	27	0	1.0000	221.7679
1135	0	3	22	0.8800	117.4038
768	1	19	0	1.0000	243.1549
1427	1	38	28	0.5758	136.7788
755	0	28	28	0.5000	0.0000
1779	0	22	0	1.0000	114.5235
1113	0	0	23	1.0000	0.0000
1010	0	0	27	1.0000	0.0000
811	0	25	22	0.5319	0.0000
582	1	4	3	0.5714	66.6998
1057	0	0	22	1.0000	0.0000
261	0	0	35	1.0000	465.3904
1448	0	25	26	0.5098	0.0000
1244	0	0	26	1.0000	79.7738
175	1	2	1	0.6667	56.1772
652	1	29	0	1.0000	53.5710
1550	1	36	0	1.0000	365.1749
1661	0	23	0	1.0000	187.8922
775	1	19	0	1.0000	112.8743
699	1	26	3	0.8966	80.6488
625	1	25	0	1.0000	61.0402
267	1	20	0	1.0000	198.5871
298	0	0	24	1.0000	0.0000
296	1	17	1	0.9444	43.9270
539	0	0	23	1.0000	227.4897
567	0	22	0	1.0000	0.0000
1317	1	0	29	1.0000	52.0701
916	1	32	0	1.0000	186.9360
1799	0	23	15	0.6053	0.0000
1355	0	0	27	1.0000	185.1236
1932	0	0	18	1.0000	170.3324
350	1	35	0	1.0000	196.0177
121	1	19	1	0.9500	137.2680
762	1	1	26	0.9630	104.6927
153	2	1	22	0.9565	1089.4656
1353	0	0	31	1.0000	411.7770
1749	0	32	0	1.0000	342.5547
1472	1	21	0	1.0000	122.8066
1127	0	0	28	1.0000	219.4165
532	0	22	0	1.0000	78.7003
235	0	25	0	1.0000	0.0000
1551	1	32	0	1.0000	337.7160
1011	0	6	8	0.5714	153.2449
927	1	0	21	1.0000	247.5144
1609	0	36	0	1.0000	74.6880
766	0	34	0	1.0000	0.0000
795	0	24	0	1.0000	388.7106
1402	0	0	27	1.0000	0.0000
877	0	13	27	0.6750	39.1763
1343	0	0	29	1.0000	0.0000
658	0	20	28	0.5833	0.0000
887	1	0	25	1.0000	258.7902
86	0	38	1	0.9744	362.2954
432	1	24	0	1.0000	288.9687
1447	1	2	23	0.9200	46.0429
52	0	0	21	1.0000	0.0000
588	1	0	28	1.0000	58.0560
1936	0	23	20	0.5349	0.0000
203	1	1	28	0.9655	188.8666
1653	0	0	30	1.0000	400.4716
1920	1	20	0	1.0000	143.7414
1484	0	23	0	1.0000	49.0650
214	1	9	0	1.0000	44.5095
1650	0	30	0	1.0000	0.0000
616	1	21	3	0.8750	165.9074
1447	0	29	0	1.0000	46.0429
511	0	2	12	0.8571	48.2689
140	1	0	28	1.0000	336.9898
631	0	27	29	0.5179	0.0000
718	0	26	0	1.0000	304.3222
1540	1	26	0	1.0000	159.8671
1853	0	29	26	0.5273	0.0000
1531	0	0	33	1.0000	0.0000
1105	1	29	0	1.0000	196.4126
1383	0	22	25	0.5319	0.0000
241	0	20	0	1.0000	181.2315
1144	0	0	33	1.0000	310.1700
395	1	0	24	1.0000	298.0625
66	0	1	31	0.9688	71.6573
463	1	26	0	1.0000	251.4483
519	1	24	1	0.9600	170.0611
1047	0	26	0	1.0000	73.6410
716	0	29	0	1.0000	280.8129
162	1	26	1	0.9630	139.6750
1510	1	0	23	1.0000	241.0530
1283	1	23	0	1.0000	76.3980
1803	1	0	2	1.0000	140.3402
1319	1	27	0	1.0000	189.7902
697	0	0	27	1.0000	1359.8404
674	0	32	0	1.0000	222.5747
553	0	32	2	0.9412	187.9879
1166	0	1	21	0.9545	56.4227
851	0	24	0	1.0000	41.9923
1122	0	40	28	0.5882	0.0000
541	2	22	0	1.0000	1206.9387
633	0	28	26	0.5185	0.0000
30	1	0	28	1.0000	425.6484
1749	1	0	20	1.0000	342.5547
1102	0	1	24	0.9600	157.3481
245	0	19	22	0.5366	37.9590
118	0	9	5	0.6429	70.5467
420	1	22	0	1.0000	208.3874
771	1	0	31	1.0000	160.4077
720	1	0	25	1.0000	253.2371
170	0	36	0	1.0000	108.9500
721	0	22	0	1.0000	0.0000
380	1	31	23	0.5741	109.6080
