1980	415-1,106-1
1981	234-1,476-0,542-0,399-1,233-0,487-1,475-0
1982	487-0,543-0,232-1,475-0,545-0,231-0,485-0,544-0,230-1,486-0,488-0,546-1
1983	76-1,483-0,86-0,77-0,517-1,87-0,78-1
1984	461-0,186-0
1985	136-0,255-0,137-1,119-0
1986	97-1,375-1,128-1,162-0,305-1
1987	109-1
1988	16-0,52-1,40-0,53-0
1989	545-1,475-0,232-0,543-1,487-1,233-0,542-0,476-0,234-1
1991	107-1,552-0,81-1
1992	241-1,272-1,319-0,518-1,528-1
1994	392-1,312-0
1995	213-0,221-0,222-1,522-0,504-0,157-1,212-0,374-0,211-1,223-0,176-0,292-0,156-1,527-1,443-1,380-1,155-1,294-1,154-1
1996	461-1
1997	279-1,72-0,278-0,310-0,351-0,393-1,311-0,183-1
1998	194-1,386-1
2000	529-0,531-0,540-0,238-1
2001	358-1,387-1,355-1,357-1
2002	438-0,29-1,175-0,2-0,507-1,437-1,482-1,27-1,1-0,164-1,397-0,174-0
2003	213-1,220-1,372-0,219-0,371-0,546-0,488-1,229-1,398-0,486-1
2004	316-1,199-1,340-1,370-1,317-0,198-0,417-0,177-1
2005	371-0,219-0
2006	392-0,312-1,187-0,441-1,313-0,206-1
2007	45-0,22-1
2008	166-0,364-0
2009	288-1,491-1,22-0
2010	200-1,253-0,510-1,201-0,315-0,446-0,152-1,323-1,17-1
2011	52-1,53-0,39-1
2012	541-1,429-1
2013	222-1,522-0
2014	179-0,460-0,391-0,435-1,102-0,459-0,124-1,383-1,458-0,82-1
2015	195-1,140-1,196-1,553-1,334-0,197-1,356-0,89-0,431-1,357-0,355-0,387-0,447-0,358-0,90-0,432-1,359-0,91-0,141-1,448-1,451-0,92-0,494-0,142-0
2016	256-0
2017	22-0,491-1,354-0,46-1,450-1,457-1,47-0,23-0,114-0,412-1,248-1,48-1,24-1,49-0
2018	238-1,400-0,234-1,476-0,399-1,233-0,487-1,543-1,232-0,475-0,545-1
2019	429-1,495-1,142-1,494-1,92-1,448-0,141-0
2021	524-0,352-0,153-1
2022	208-1
2023	16-1,331-0,342-1,471-1,330-1,341-1,428-0
2024	169-0,249-0,111-0,244-1,245-1,289-0,51-1,246-1,188-1,113-1,247-0,50-1,501-1,158-1,49-1,24-0,48-0,248-0
2026	323-1,17-1,324-1,168-1,339-1,167-1,338-1
2028	308-1,349-1,281-0,479-0,480-0,282-0
2029	382-0,462-1,101-0,228-0,481-1,526-0
2030	463-1,314-0
2031	192-0,193-0,318-1,423-0,474-1
2032	71-0,184-1,262-1,442-0,186-0
2033	276-0,516-1,428-1,341-0,330-0,471-0,342-0,331-1
2034	205-1,207-1,173-0,73-0,71-1,184-0,262-0,186-1,461-1
2035	178-1
2037	56-1,36-1,271-0
2038	45-1,21-1,424-1,363-1,165-1,490-0,20-1,44-1,463-1,314-0,425-0,498-1,18-1,497-1,364-0,166-0,338-1,167-1,339-1,168-1,17-1
2039	0-1,25-1,378-0,335-1,26-0,397-0,164-0,1-0,27-1,482-1,437-0,507-1,2-0,28-1,29-0,438-0,3-1,30-0,439-0,70-0,209-0,413-1,31-0,410-1,32-0,286-0,4-1,210-1,5-0,464-0,408-1,465-0,407-1,67-1,466-1,511-1,66-1,467-1,512-0,65-0,468-0,513-0,64-0,287-0,63-1
2040	309-0,279-1,182-1,278-0
2041	133-1
2043	129-1,161-0,492-1,97-1,375-1,128-1,162-0,305-1,96-1,376-0,99-0,377-1,127-0,163-0,0-0
2044	367-0,7-0,520-1
2045	299-1,145-1,94-0
2046	304-1,346-0,203-0
2047	428-0,516-0
2048	419-0,416-0,420-0,336-1,404-1
2049	187-1,312-0,183-0,311-1,351-1,310-1,182-0,72-1,279-0,309-1,515-0,100-0,349-1
2050	87-1,517-0,86-1,483-1,76-0,85-0,259-0,526-1,481-0,381-0,126-1,228-1,101-0,462-0,227-0,180-1,82-0,458-1,383-1,124-1,459-1,102-1
2051	104-0,258-1
2052	266-0,505-0
2053	406-0,107-0,552-0,81-1,414-1,265-0,252-0,257-0,415-0,263-0,105-0,258-1
2055	395-1,519-1
2056	308-1,349-1,479-0,480-0,282-0
2057	402-0,204-1
2058	297-0,427-0,108-1,143-0,298-0,13-0,95-0,144-1,94-1,145-0,299-0,146-0,300-1,12-0,301-1
2059	245-0,289-0,159-0,51-1,246-1,188-1
2060	389-0,390-1,366-0,6-1,7-1
2061	279-1
2063	17-0,323-0,152-1,446-1,315-1,201-1,510-0,253-1,316-1,340-0,370-1,525-0,317-0,198-0,417-0,177-1,506-1,151-1,472-0,296-0,150-1,524-0
2065	274-1,98-1,122-0,267-1,403-1,291-0,132-1,133-0,121-0,134-1,256-0,396-1,430-0,550-0,135-1,120-0
2066	372-0,220-0,213-1,221-1,373-1,222-0,522-1
2068	163-1,127-1,377-0,99-1,376-1,96-0,305-0,162-1,128-0,375-0,97-0,492-0,161-1,129-0
2069	3-0,438-1,29-1,175-1,28-0,2-1,437-1,482-0,27-0,1-1,164-1,397-1,174-1,26-1,335-0,0-0,163-0,127-0,377-1,99-0,376-0,305-1,162-0
2072	306-0,205-1,207-1,173-0,73-0,71-1,184-0
2073	44-1,463-1,425-0,19-0
2074	433-0,116-0,500-0
2075	340-0,370-0
2076	103-0,236-0,225-1,251-0,235-1,224-1
2077	129-0,161-1
2078	134-0,256-1
2079	299-0,145-0
2080	361-1,160-0,129-1
2081	260-1,266-0
2082	140-1,196-0,553-1,334-0
2083	106-1,257-1,252-1,264-1
2084	164-1,397-1,174-1,26-1
2085	256-1,134-0,121-0,133-1
2086	344-1,329-1,325-1,530-0,303-0,345-1,304-1,346-0,203-0,347-1,478-0,493-0,204-1,402-0,328-1,326-1,327-0
2087	431-0,89-1,356-1,334-1,553-0,196-1,140-0,195-0,440-1
2089	439-1,70-1,413-0,548-0,411-0
2090	270-1,58-0
2091	373-1
2093	188-1,246-1,51-1,159-0,289-0,245-0
2094	421-0
2095	202-1,521-0
2096	144-1,95-0
2097	154-0,294-1,155-1
2098	376-0
2099	520-0,7-1,367-1,6-1,366-0,390-1,115-1,365-1
2100	16-0,331-1,342-0,471-0,330-0,341-0,428-1,516-1
2101	203-1,347-0
2102	416-1,420-1,336-0
2104	326-1,328-1,402-0
2105	275-1
2106	196-0,553-1
2108	445-0,529-1,531-1
2110	152-1,323-0,17-0,324-0,168-0,167-0,338-0,497-0,18-0
2111	495-0,429-0,496-0,514-0,541-0
2112	131-0,360-0,274-0
2113	257-1
2114	223-0,211-1,374-0,157-1
2115	451-1,92-1,494-1,142-1,495-1,429-1
2116	128-0,375-0,492-0
2117	538-0,449-1,369-1,10-1
2118	354-1,46-1,450-0,457-0,47-1,23-1
2119	501-0,158-0,49-0,24-1,48-1,248-1,412-1,114-0,23-0,47-0,457-1,288-1
2120	102-1,435-0,391-1,179-1
2121	459-1,102-1,435-0
2122	144-0
2123	51-1,159-0
2124	71-1,73-0,173-0,207-1,205-1,306-0,185-0,388-0,74-1,172-1,189-1,385-0,534-0,75-1,171-0,321-0,59-1,405-0,170-1,60-1,208-0,61-0,191-1,181-0,273-0,242-1,62-0
2125	285-1,320-0,270-1,33-1,58-0
2127	404-1,336-1,420-0,416-0,333-1,214-1,445-0
2128	481-0,381-0,126-1,228-1
2129	346-0,203-0,347-1,478-0,493-0,204-1,402-0,328-1,326-1
2130	259-1,85-1,76-1,483-0,86-0,77-0,87-0,78-1,454-1,88-0,79-0,455-1,307-1,505-1,456-0,260-0,80-1,406-0,107-1
2131	188-1,246-1,51-1,159-0
2132	151-1,472-0,296-0,150-1,352-0,295-0
2133	34-1,57-1,35-1,500-0,433-0,271-1,36-0,56-0,149-0,434-0,353-0,55-1,535-0,537-0,43-1,469-0,477-0,343-0,470-1,508-0,123-1,38-0,54-1
2134	462-0,101-0,228-1
2135	228-0,381-1,481-1,526-0
2136	421-1,215-0,394-1,337-1
2138	153-1,295-0,154-1,294-1,155-1,380-1,443-1,527-1,292-0,176-0,223-0,211-1,374-0,212-0
2139	492-0,97-0
2140	258-1,104-1,103-0
2141	89-0,356-1,197-1,334-0,553-1,196-0,140-1,195-1,440-0,386-0,194-0,436-1,499-1,474-1,423-0
2142	52-1,331-1,342-0,471-0
2143	332-1,529-0,531-0
2144	509-1,362-0,401-1,327-0,326-1,328-1,204-1,493-1,478-0,347-1,203-0,346-0,304-1
2145	133-1,121-0,134-0,256-1,396-0,430-1,135-0,120-0
2146	176-0,223-0,211-1,374-0,212-0,157-1
2147	217-0,261-0,254-1,178-0,117-1,139-1,118-1,138-0,119-0,255-0,136-0,135-1,550-0,430-0,396-1,256-0
2148	17-1,323-1,152-0,446-0,315-0,201-0,510-1,253-0,200-1,316-0
2149	86-0,483-0,76-1,85-1
2150	447-0,358-0,90-0,432-1,359-1,91-0,452-1,141-1
2151	6-0
2152	433-1,116-1,500-0,35-0,57-0,34-1
2153	65-1,512-1,467-1,66-1,511-0,67-0,407-0
2154	134-1,121-1,133-0,132-1,291-0
2155	28-0,2-1
2156	455-0,307-0,505-0,456-1
2157	225-1
2158	483-1,76-0,85-0,259-0,526-1,481-0,381-0,126-1
2159	200-1,510-1,201-0
2160	151-0,472-1,296-1,150-0
2164	268-0,284-1,269-1
2166	419-1,333-0,418-0,214-0,445-1,531-0,540-0,238-1
2167	223-0,176-0,292-0,156-1
2169	154-1,295-0,153-1
2170	176-0,292-0
2171	438-0,3-1
2172	485-1,544-1
2173	432-1,90-0,358-0,447-0,387-0,355-0,357-0,431-1,356-0,196-0,140-1
2174	427-0,108-1,143-0,13-0
2175	347-1,203-0,346-0
2176	439-0
2177	193-1,318-0,426-0,499-0,473-0,436-1,194-1,386-1,440-1,195-0,140-0,196-1,553-0,334-1
2178	131-1,360-1,274-1,122-0,267-0,403-1,291-0,132-1,275-0
2179	351-0,393-1,311-0,183-1,392-0,187-0,441-0,313-0,206-1,186-0,442-0,262-1,184-1
2180	517-1
2181	428-1,341-0,330-0,471-0,342-0
2182	86-0,483-0,76-1,85-1,259-1,526-0,481-1,381-1,126-0,228-0,382-0
2183	351-1,393-0,311-1,183-0,392-1,312-0,187-1,441-0,313-1,206-0,461-1
2184	426-0,474-0,423-1,240-0,192-1,241-0,272-0
2185	232-0,543-1,487-1,233-0,399-1,453-1,542-0,476-0
2186	242-0,62-1,322-0,528-1,518-1,319-0
2187	312-0,392-1,183-0,311-1,393-0,351-1,310-1,278-1,182-0
2188	213-0,221-0,222-1,504-0,157-1,212-0,374-0,223-0,176-0,292-0,527-1,443-0,380-1,293-0,155-1,294-1,154-1,295-0
2189	360-1,274-1,98-1,122-0,267-0,403-1,291-0,132-1
2190	451-0,92-0,494-0,142-0,495-0,429-0,496-0
2191	80-0,260-1,266-0,456-1
2192	149-0,434-0
2194	153-1,295-0,154-1,294-1,155-1,293-1
2197	25-1,163-1,127-1,377-0,99-1,376-1,96-0,305-0
2198	350-1,283-1,42-0,15-1,516-1,428-1
2199	482-0,437-1,507-1,2-1,28-0
2200	194-0,386-0,440-0,195-1,140-1,196-0,553-1,334-0,197-1,356-0,89-0,431-1
2201	129-0,161-1,97-0,375-0,128-0
2202	507-1,437-0,482-1,27-1
2203	440-0,386-0,194-0,436-1
2204	443-1,293-1,155-1,294-1,295-0,524-0,150-1
2205	262-0,184-0,71-1,73-0,173-0,207-1,205-1,306-0
2206	118-0,138-1,119-1,137-0,255-0,120-1,430-1
2207	175-1,29-1,438-1,3-0,30-1,439-1,70-1
2208	31-0,413-0,209-1,439-1,30-1,3-0,438-1,175-1,28-0,2-1
2209	203-0,346-0,345-1
2210	309-1,279-0,72-1,182-1,278-1,310-1,351-1,393-0
2211	78-0,87-1,517-0,77-0,86-1
2212	77-0,517-0,87-1,78-0,454-1
2213	436-0
2214	199-0,316-0,200-1,253-0
2215	104-0,147-1,103-1,236-1,225-0,235-0,224-0
2218	392-1,183-0,393-0,351-1,310-1,278-1,182-0
2219	506-0,177-0,417-1,198-1
2220	170-0,405-1
2222	256-1
2223	370-0,340-0,199-0,316-0,200-1,253-0,201-0,315-0,446-0,152-0,17-1,339-0,167-1,338-1
2224	255-1,137-0,119-1
2225	506-0,151-0,472-1,296-1,150-0,524-1,352-1,153-0,295-1,154-0
2226	48-0
2228	389-1,502-1,268-0,284-0,269-1
2229	62-1,242-0
2230	396-0,256-1
2231	205-0,306-1,185-1,388-1
2232	495-1,429-1
2233	140-1,196-0,553-1,334-0,197-1
2234	267-1,98-0
2235	205-0,207-0,173-1,71-0,184-1,262-1
2236	286-0,69-1,409-1,32-0
2238	361-0,533-1,489-1,130-1,131-0,290-1,360-0,274-0,98-0
2239	468-0,513-0,64-1,287-0,63-0
2240	507-1,437-0,482-1,27-1,1-0,164-0,397-0
2241	174-1,397-1,164-1,1-1,27-0,482-0
2242	348-0
2243	327-1,401-0,362-1,509-1,519-0,395-0,536-0,523-0,216-0
2244	40-0,53-0,39-1
2245	467-1,512-0,65-0
2246	53-0,39-1,54-1,38-0,123-1,508-0
2247	428-0,516-0,15-0,276-1,42-1,41-1,282-0,480-0,479-0
2249	350-1,283-1,276-1,15-0,516-0
2250	74-0,172-0,189-0,385-1
2251	485-0,544-0,230-1,486-0,398-0,229-0,488-0,546-1
2252	43-0,537-1,535-1
2253	297-0,14-1,521-0
2254	111-1,244-0,112-1,245-1,289-1
2255	515-1,308-0
2256	280-1
2257	88-0,454-0,78-1
2258	128-0,162-1,305-0,96-0
2259	324-0,17-0,323-0,152-1
2260	318-0,193-1,240-0,192-1,241-1,319-1,518-1,528-1
